"","title","date","company","salary","maxsal","minsal","location","summary","link"
"1","Senior Data Scientist","Today","Headcheckit.com","112,853 - 204,864","204,864","112,853",NA,"Being part of a team of data scientists.","https://www.indeed.com/company/Headcheckit.com/jobs/Senior-Data-Scientist-ea327af8483ea0fd?fccid=ee23b99f71507d73&vjs=3"
"2","Data Scientist","Just posted","Alto Neuroscience, Inc","70,000 - 90,000","90,000","70,000","San Francisco Bay Area, CA","This person will work closely with a growing inter-disciplinary team of Physicians, Research scientists and Software developers to challenge the status quo and…","https://www.indeed.com/company/Alto-Neuroscience,-Inc/jobs/Data-Scientist-ca16b63c03e40c57?fccid=3a7ad5d4b8526b01&vjs=3"
"3","Clinical Data Scientist","30","Nucleus","81,078 - 129,709","129,709","81,078","Glen Allen, VA","This candidate will leverage prospective analytics and use data mining, data analysis, automation, and machine learning methods, to measure performance and…","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dx0GoiNX9h-zZrnOAAXGM__uzOpWkPF_tkiRA3-eRCCiRJEM5stoV9t7SFD56jHmbl3261G37hTuBAd0D2_beqXw0Iwo-hLbbhVln3W01GlCEgSN2oqQ_AQRke2Rax8eHN8O6VwBJ92ZcbByNMI7ORxqSkFAzJXXDkBigyyKdI5c6hS4KLluwK6lhnFg7eq2wj1OrCabyjnadwwhET8SwQWRRx-DThVinTq7MlXdpc34geoQ_hNCohf5nbMQUeXEq3xmhunWR9WGsZ8_8YgbtTV39vu2-CJjWKjt3TmSGZ-UOmkQLQbvIkP4jf3KR92A8Ixp0KL_c7-0SHQaoW-OeFMwAmbsIP_K66V9U0fQDa2ynGDN-AtaGj7jzFe6NwVjFedGhwor5VhybKjsVh6dzZe4T9hkgHpboLivODnxBYBBOlYYt-flVzRvMBDUun57grj-soJ6D_xA==&p=2&fvj=1&vjs=3"
"4","Data Scientist","8","Cognowiz solutions LLC","",NA,NA,"Herndon, VA","Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.","https://www.indeed.com/company/Cognowiz-solutions-LLC/jobs/Data-Scientist-dd25f8809ed80778?fccid=6f3afb2c19af6e1b&vjs=3"
"5","Co-op Data Scientist 2021","30","The Hershey Company","70,000 - 177,616","177,616","70,000","Hershey, PA","Collaborates with IT to prepare and manipulate structured and unstructured data for data discovery and mining from multiple, disparate, resources.","https://www.indeed.com/rc/clk?jk=bb3dc0d9215abe7d&fccid=e08898c7a89673c9&vjs=3"
"6","Data Scientist","Just posted","Dataiku","",NA,NA,"New York, NY","Our ideal candidate is comfortable learning new languages, technologies, and modeling techniques while being able to explain their work to other data scientists…","https://www.indeed.com/rc/clk?jk=3660684698cec841&fccid=4640437a3109c91f&vjs=3"
"7","Data Scientist (Junior)","30","KBR","",NA,NA,"Lexington Park, MD","Engineering Support: Participates with engineering in the design, development, and utilization of scientific/engineering electronic data processing systems…","https://www.indeed.com/rc/clk?jk=f2e1b49a9347924c&fccid=cbfa56f19cc95796&vjs=3"
"8","Data Scientist, Intermediate","13","UVA Medical Center","112,853 - 204,864","204,864","112,853","Charlottesville, VA","Is able to answer defined questions about health system functions/operations/populations using appropriate statistical techniques on available data.","https://www.indeed.com/rc/clk?jk=7f539cf07d667e63&fccid=ac3ca395d43dcd7d&vjs=3"
"9","Supply Chain Data Scientist","Just posted","TCS","70,000 - 90,000","90,000","70,000","Atlanta, GA","Working closely with Customers for developing project plans and ensure delivery consistent with the project estimates provided.","https://www.indeed.com/rc/clk?jk=a15d20b6e7e719ed&fccid=c78fdfc4443d4537&vjs=3"
"10","Undergraduate Internship/Co-op Program - Data Scientist","30","Central Intelligence Agency","81,078 - 129,709","129,709","81,078","Washington, DC","You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships…","https://www.indeed.com/rc/clk?jk=4df5e9a053f32646&fccid=e9870e3159e9c6ac&vjs=3"
"11","Data Scientist","7","ACHNET Inc","",NA,NA,"Plano, TX","Building and owning large scale machine learning models.","https://www.indeed.com/company/ACHNET-Inc/jobs/Data-Scientist-4678de7d2ce1a4e9?fccid=4c8feeee8e552116&vjs=3"
"12","Data Scientist","20","RMDS Lab, Inc","70,000 - 177,616","177,616","70,000","South Lake, CA","Provide consultation on data science and machine learning.","https://www.indeed.com/company/RMDS-Lab/jobs/Data-Scientist-c487fd99ae09ef42?fccid=bb09cf205f12348c&vjs=3"
"13","Forward Deployed Data Scientist","13","Cresta","",NA,NA,NA,"Proficiency in SQL and data visualization tools (e.g. Tableau, Looker, etc.).","https://www.indeed.com/rc/clk?jk=9dc6b800a28e75ef&fccid=89f15f8fbcb9d345&vjs=3"
"14","Data Scientist - AI/ML Engineer","Today","Softnice","",NA,NA,"Sunnyvale, CA","Excellent knowledge and good practical skills in major ML algorithms as applied to Natural Language Processing, information retrieval, data mining.","https://www.indeed.com/company/Softnice/jobs/Data-Scientist-60988ef75ed7c8a0?fccid=9b98d432e332db87&vjs=3"
"15","Data Scientist","Just posted","Caterpillar","112,853 - 204,864","204,864","112,853","Mossville, IL","The Data Scientist contributes to this mission by leveraging his or her quantitative analysis, data management, modeling and/or data visualization skills as an…","https://www.indeed.com/rc/clk?jk=1736bbe9f9cddf32&fccid=d723225da214c842&vjs=3"
"16","Data Scientist","4","RS21","112,853 - 204,864","204,864","112,853","Arlington, VA","Proficiency with modern approaches in data analytics (e.g., statistics, machine learning, econometrics).","https://www.indeed.com/rc/clk?jk=5ef518d03638c56b&fccid=294d5debc2c11988&vjs=3"
"17","Senior Data Scientist","Today","Headcheckit.com","70,000 - 90,000","90,000","70,000",NA,"Being part of a team of data scientists.","https://www.indeed.com/company/Headcheckit.com/jobs/Senior-Data-Scientist-ea327af8483ea0fd?fccid=ee23b99f71507d73&vjs=3"
"18","Data Scientist","Just posted","Alto Neuroscience, Inc","81,078 - 129,709","129,709","81,078","San Francisco Bay Area, CA","This person will work closely with a growing inter-disciplinary team of Physicians, Research scientists and Software developers to challenge the status quo and…","https://www.indeed.com/company/Alto-Neuroscience,-Inc/jobs/Data-Scientist-ca16b63c03e40c57?fccid=3a7ad5d4b8526b01&vjs=3"
"19","Data Scientist","8","Cognowiz solutions LLC","",NA,NA,"Herndon, VA","Experience with data visualization tools, such as Tableau, Qlik, Power BI, d3.js, or equivalent.","https://www.indeed.com/company/Cognowiz-solutions-LLC/jobs/Data-Scientist-dd25f8809ed80778?fccid=6f3afb2c19af6e1b&vjs=3"
"20","Co-op Data Scientist 2021","30","The Hershey Company","70,000 - 177,616","177,616","70,000","Hershey, PA","Collaborates with IT to prepare and manipulate structured and unstructured data for data discovery and mining from multiple, disparate, resources.","https://www.indeed.com/rc/clk?jk=bb3dc0d9215abe7d&fccid=e08898c7a89673c9&vjs=3"
"21","Data Scientist","Just posted","Dataiku","",NA,NA,"New York, NY","Our ideal candidate is comfortable learning new languages, technologies, and modeling techniques while being able to explain their work to other data scientists…","https://www.indeed.com/rc/clk?jk=3660684698cec841&fccid=4640437a3109c91f&vjs=3"
